460.5	227
461.5	758
462.5	365
463.5	481
464.5	157
465.5	666
466.5	492
467.5	365
468.5	585
469.5	354
470.5	539
471.5	527
472.5	458
473.5	689
474.5	331
475.5	435
476.5	458
477.5	573
478.5	654
479.5	273
480.5	562
481.5	331
482.5	643
483.5	435
484.5	596
485.5	562
486.5	585
487.5	354
488.5	527
489.5	827
490.5	3657
491.5	7954
492.5	7423
493.5	5379
494.5	4062
495.5	3195
496.5	2814
497.5	2017
498.5	2086
499.5	1694
500.5	1555
501.5	1082
502.5	1243
503.5	1197
504.5	1047
505.5	827
506.5	920
507.5	931
508.5	677
509.5	770
510.5	643
511.5	758
512.5	735
513.5	562
514.5	677
515.5	689
516.5	573
517.5	539
518.5	631
519.5	573
520.5	608
521.5	550
522.5	573
523.5	539
524.5	608
525.5	492
526.5	550
527.5	492
528.5	527
529.5	365
